Date,PM10_weighted_value(ug m-3)
2018-01-01,14.0
2018-01-02,17.0
2018-01-03,28.0
2018-01-04,16.0
2018-01-05,21.0
2018-01-06,29.0
2018-01-07,15.0
2018-01-08,18.0
2018-01-09,22.0
2018-01-10,27.0
2018-01-11,28.0
2018-01-12,16.0
2018-01-13,14.0
2018-01-14,19.0
2018-01-15,10.0
2018-01-16,16.0
2018-01-17,20.0
2018-01-18,17.0
2018-01-19,20.0
2018-01-20,15.0
2018-01-21,11.0
2018-01-22,23.0
2018-01-23,12.0
2018-01-24,11.0
2018-01-25,22.0
2018-01-26,29.0
2018-01-27,13.0
2018-01-28,10.0
2018-01-29,14.0
2018-01-30,19.0
2018-01-31,13.0
2018-02-01,18.0
2018-02-02,20.0
2018-02-03,16.0
2018-02-04,16.0
2018-02-05,29.0
2018-02-06,30.0
2018-02-07,27.0
2018-02-08,20.0
2018-02-09,15.0
2018-02-10,12.0
2018-02-11,10.0
2018-02-12,18.0
2018-02-13,12.0
2018-02-14,12.0
2018-02-15,24.0
2018-02-16,25.0
2018-02-17,28.0
2018-02-18,16.0
2018-02-19,15.0
2018-02-20,14.0
2018-02-21,37.0
2018-02-22,25.0
2018-02-23,22.0
2018-02-24,24.0
2018-02-25,25.0
2018-02-26,39.0
2018-02-27,25.5
2018-02-28,18.25
2018-03-01,33.0
2018-03-02,35.0
2018-03-03,44.0
2018-03-04,13.0
2018-03-05,15.0
2018-03-06,24.0
2018-03-07,26.0
2018-03-08,19.0
2018-03-09,18.0
2018-03-10,20.0
2018-03-11,24.0
2018-03-12,14.0
2018-03-13,24.0
2018-03-14,14.0
2018-03-15,12.0
2018-03-16,21.0
2018-03-17,16.0
2018-03-18,24.0
2018-03-19,40.0
2018-03-20,51.0
2018-03-21,36.0
2018-03-22,26.0
2018-03-23,23.0
2018-03-24,29.0
2018-03-25,36.0
2018-03-26,30.0
2018-03-27,18.0
2018-03-28,16.0
2018-03-29,13.0
2018-03-30,9.0
2018-03-31,9.0
2018-04-01,13.0
2018-04-02,9.0
2018-04-03,17.75
2018-04-04,14.0
2018-04-05,15.0
2018-04-06,15.0
2018-04-07,19.0
2018-04-08,11.0
2018-04-09,13.0
2018-04-10,28.0
2018-04-11,38.0
2018-04-12,34.0
2018-04-13,21.0
2018-04-14,20.0
2018-04-15,13.0
2018-04-16,23.0
2018-04-17,20.0
2018-04-18,24.0
2018-04-19,45.0
2018-04-20,39.0
2018-04-21,28.0
2018-04-22,22.0
2018-04-23,18.0
2018-04-24,16.0
2018-04-25,17.0
2018-04-26,20.0
2018-04-27,14.0
2018-04-28,15.0
2018-04-29,14.0
2018-04-30,16.0
2018-05-01,18.0
2018-05-02,15.0
2018-05-03,28.0
2018-05-04,31.0
2018-05-05,14.0
2018-05-06,20.0
2018-05-07,22.0
2018-05-08,30.0
2018-05-09,25.0
2018-05-10,21.0
2018-05-11,19.0
2018-05-12,15.0
2018-05-13,20.0
2018-05-14,21.0
2018-05-15,30.0
2018-05-16,35.0
2018-05-17,34.0
2018-05-18,32.0
2018-05-19,27.0
2018-05-20,20.0
2018-05-21,34.0
2018-05-22,37.0
2018-05-23,34.0
2018-05-24,36.0
2018-05-25,29.0
2018-05-26,25.0
2018-05-27,25.0
2018-05-28,26.0
2018-05-29,24.0
2018-05-30,24.0
2018-05-31,28.0
2018-06-01,16.8
2018-06-02,18.0
2018-06-03,19.4
2018-06-04,14.6
2018-06-05,28.0
2018-06-06,35.0
2018-06-07,33.0
2018-06-08,28.0
2018-06-09,20.0
2018-06-10,16.0
2018-06-11,21.0
2018-06-12,26.0
2018-06-13,20.0
2018-06-14,24.0
2018-06-15,28.0
2018-06-16,15.0
2018-06-17,13.0
2018-06-18,18.0
